DIA,SST AM,SSV AM,SSV PM,SSF PM
Unidad,mg/l,mg/l,mg/l,mg/l
,,,,
1,198,141,131,38
2,274,200,125,35
3,156,119,274,120
4,382,266,272,105
5,494,342,202,76
6,259,182,205,67
7,247,185,232,77
8,164,125,112,33
9,367,265,82,30
10,123,90,91,26
11,132,96,130,46
12,97,66,110,33
13,160,104,181,83
14,137,100,122,41
15,172,123,151,56
16,192,138,168,78
17,176,106,94,36
18,192,132,111,43
19,152,99,112,37
20,255,179,181,67
21,188,134,220,94
22,215,153,149,58
23,221,157,147,60
24,284,199,201,93
25,134,84,133,65
26,196,120,132,47
27,144,88,114,41
28,193,143,128,45
