occurrenceID,verbatimLocality,verbatimSex,weight,decimalLongitude,decimalLatitude,species_ID,day,month,year,name
1,2,M,,-109.08197499999642,31.93888700000037,,16,7,1977,
2,3,M,,-109.0812079999964,31.938896000000387,,16,7,1977,
3,2,F,,-109.08197499999642,31.93888700000037,2439521.0,16,7,1977,Dipodomys merriami
4,7,M,,-109.0828159999964,31.938113000000413,2439521.0,16,7,1977,Dipodomys merriami
5,3,M,,-109.0812079999964,31.938896000000387,2439521.0,16,7,1977,Dipodomys merriami
6,1,M,,-109.0828289999964,31.938851000000387,2439566.0,16,7,1977,Perognathus flavus
7,2,F,,-109.08197499999642,31.93888700000037,2437981.0,16,7,1977,Peromyscus eremicus
8,1,M,,-109.0828289999964,31.938851000000387,2439521.0,16,7,1977,Dipodomys merriami
9,1,,,-109.0828289999964,31.938851000000387,2439521.0,16,7,1977,Dipodomys merriami
10,1,,,-109.0828289999964,31.938851000000387,2438147.0,16,7,1977,Sigmodon hispidus
11,6,F,,-109.07883599999636,31.93907800000041,2439566.0,16,7,1977,Perognathus flavus
12,5,F,,-109.07960199999636,31.93897000000045,2439531.0,16,7,1977,Dipodomys spectabilis
13,7,M,,-109.0828159999964,31.938113000000413,2439521.0,16,7,1977,Dipodomys merriami
14,3,M,,-109.0812079999964,31.938896000000387,2439521.0,16,7,1977,Dipodomys merriami
15,8,,,-109.0816799999964,31.9378840000004,2439521.0,16,7,1977,Dipodomys merriami
16,6,F,,-109.07883599999636,31.93907800000041,2439521.0,16,7,1977,Dipodomys merriami
17,4,F,,-109.0804089999964,31.93889400000041,2439521.0,16,7,1977,Dipodomys merriami
18,3,F,,-109.0812079999964,31.938896000000387,2439531.0,16,7,1977,Dipodomys spectabilis
19,2,M,,-109.08197499999642,31.93888700000037,2439591.0,16,7,1977,Chaetodipus penicillatus
20,4,,,-109.0804089999964,31.93889400000041,2439566.0,16,7,1977,Perognathus flavus
21,11,F,,-109.07930699999636,31.938056000000422,2439531.0,17,7,1977,Dipodomys spectabilis
22,14,F,,-109.0818269999964,31.937054000000447,2439521.0,17,7,1977,Dipodomys merriami
23,15,F,,-109.08103599999642,31.937059000000463,,17,7,1977,
24,13,M,,-109.0826129999964,31.93702800000044,2439521.0,17,7,1977,Dipodomys merriami
25,13,M,,-109.0826129999964,31.93702800000044,2438147.0,17,7,1977,Sigmodon hispidus
26,9,M,,-109.08090299999638,31.93785900000039,2439521.0,17,7,1977,Dipodomys merriami
27,15,M,,-109.08103599999642,31.937059000000463,2439521.0,17,7,1977,Dipodomys merriami
28,15,M,,-109.08103599999642,31.937059000000463,2439521.0,17,7,1977,Dipodomys merriami
29,11,M,,-109.07930699999636,31.938056000000422,2439521.0,17,7,1977,Dipodomys merriami
30,11,M,,-109.07930699999636,31.938056000000422,2439591.0,17,7,1977,Chaetodipus penicillatus
31,10,F,,-109.08009099999636,31.938017000000425,2439531.0,17,7,1977,Dipodomys spectabilis
32,15,F,,-109.08103599999642,31.937059000000463,2439521.0,17,7,1977,Dipodomys merriami
33,10,F,,-109.08009099999636,31.938017000000425,2439521.0,17,7,1977,Dipodomys merriami
34,11,F,,-109.07930699999636,31.938056000000422,2439521.0,17,7,1977,Dipodomys merriami
35,17,,,-109.07941499999636,31.937117000000445,2439521.0,17,7,1977,Dipodomys merriami
36,13,F,,-109.0826129999964,31.93702800000044,2439521.0,17,7,1977,Dipodomys merriami
37,16,F,,-109.08024399999636,31.93709400000041,2438516.0,17,7,1977,Onychomys torridus
38,11,F,,-109.07930699999636,31.938056000000422,2439521.0,17,7,1977,Dipodomys merriami
39,17,M,,-109.07941499999636,31.937117000000445,,17,7,1977,
40,11,F,,-109.07930699999636,31.938056000000422,2439521.0,17,7,1977,Dipodomys merriami
41,20,M,,-109.08019099999642,31.93633400000045,2439521.0,18,7,1977,Dipodomys merriami
42,23,F,,-109.07783799999636,31.93676300000042,2439521.0,18,7,1977,Dipodomys merriami
43,18,F,,-109.07863299999636,31.93712600000041,2439531.0,18,7,1977,Dipodomys spectabilis
44,21,M,,-109.07939799999636,31.936448000000453,2439521.0,18,7,1977,Dipodomys merriami
45,18,F,,-109.07863299999636,31.93712600000041,2439521.0,18,7,1977,Dipodomys merriami
46,22,M,,-109.07860199999637,31.93644100000042,2439521.0,18,7,1977,Dipodomys merriami
47,19,M,,-109.07791199999636,31.937438000000437,2439521.0,18,7,1977,Dipodomys merriami
48,18,M,,-109.07863299999636,31.93712600000041,2439521.0,18,7,1977,Dipodomys merriami
49,20,F,,-109.08019099999642,31.93633400000045,2439521.0,18,7,1977,Dipodomys merriami
50,12,F,,-109.07851899999636,31.938203000000414,2439591.0,18,7,1977,Chaetodipus penicillatus
51,18,F,,-109.07863299999636,31.93712600000041,2439521.0,18,7,1977,Dipodomys merriami
52,21,F,,-109.07939799999636,31.936448000000453,2439521.0,18,7,1977,Dipodomys merriami
53,12,F,,-109.07851899999636,31.938203000000414,2439521.0,18,7,1977,Dipodomys merriami
54,22,M,,-109.07860199999637,31.93644100000042,2439521.0,18,7,1977,Dipodomys merriami
55,18,M,,-109.07863299999636,31.93712600000041,2439521.0,18,7,1977,Dipodomys merriami
56,23,M,,-109.07783799999636,31.93676300000042,2439521.0,18,7,1977,Dipodomys merriami
57,20,M,,-109.08019099999642,31.93633400000045,2439521.0,18,7,1977,Dipodomys merriami
58,22,,,-109.07860199999637,31.93644100000042,2439521.0,18,7,1977,Dipodomys merriami
59,12,M,,-109.07851899999636,31.938203000000414,2439531.0,18,7,1977,Dipodomys spectabilis
60,19,M,,-109.07791199999636,31.937438000000437,2439521.0,18,7,1977,Dipodomys merriami
61,19,M,,-109.07791199999636,31.937438000000437,2437981.0,18,7,1977,Peromyscus eremicus
62,23,M,,-109.07783799999636,31.93676300000042,2439521.0,18,7,1977,Dipodomys merriami
63,19,M,,-109.07791199999636,31.937438000000437,2439521.0,18,7,1977,Dipodomys merriami
64,3,M,40.0,-109.0812079999964,31.938896000000387,2439521.0,19,8,1977,Dipodomys merriami
65,7,M,48.0,-109.0828159999964,31.938113000000413,2439521.0,19,8,1977,Dipodomys merriami
66,4,F,29.0,-109.0804089999964,31.93889400000041,2439521.0,19,8,1977,Dipodomys merriami
67,4,F,46.0,-109.0804089999964,31.93889400000041,2439521.0,19,8,1977,Dipodomys merriami
68,7,M,36.0,-109.0828159999964,31.938113000000413,2439521.0,19,8,1977,Dipodomys merriami
69,8,F,52.0,-109.0816799999964,31.9378840000004,2439541.0,19,8,1977,Dipodomys ordii
70,2,M,8.0,-109.08197499999642,31.93888700000037,2439566.0,19,8,1977,Perognathus flavus
